Ewallet;000-952812;USD;5.00;USD;;12388888;Agreement no.2;qiwi;70000000001
Ewallet;000-952812;RUB;20.00;EUR;;12388889;Партнерская выплата по договору;qiwi;380123456789
Ewallet;000-952812;EUR;;USD;3.00;12388890;;qiwi;179061234567
Ewallet;000-952812;USD;5.00;USD;;12388891;Agreement no.2;qiwi;70000000001
Ewallet;000-952812;RUB;20.00;EUR;;12388892;Партнерская выплата по договору;qiwi;380123456789
Ewallet;000-952812;EUR;;USD;3.00;12388893;;qiwi;179061234567
Ewallet;000-952812;USD;5.00;USD;;12388894;Agreement no.2;qiwi;70000000001
Ewallet;000-952812;RUB;20.00;EUR;;12388895;Партнерская выплата по договору;qiwi;380123456789
Ewallet;000-952812;EUR;;USD;3.00;12388896;;qiwi;179061234567
Ewallet;000-952812;USD;5.00;USD;;12388897;Agreement no.2;qiwi;70000000001
Ewallet;000-952812;RUB;20.00;EUR;;12388898;Партнерская выплата по договору;qiwi;380123456789
Ewallet;000-952812;EUR;;USD;3.00;12388899;;qiwi;179061234567
Ewallet;000-952812;USD;5.00;USD;;12388900;Agreement no.2;qiwi;70000000001
Ewallet;000-952812;RUB;20.00;EUR;;12388901;Партнерская выплата по договору;qiwi;380123456789
Ewallet;000-952812;EUR;;USD;3.00;12388902;;qiwi;179061234567
Ewallet;000-952812;USD;5.00;USD;;12388903;Agreement no.2;qiwi;70000000001
Ewallet;000-952812;RUB;20.00;EUR;;12388904;Партнерская выплата по договору;qiwi;380123456789
Ewallet;000-952812;EUR;;USD;3.00;12388905;;qiwi;179061234567
Ewallet;000-952812;USD;5.00;USD;;12388906;Agreement no.2;qiwi;70000000001
Ewallet;000-952812;RUB;20.00;EUR;;12388907;Партнерская выплата по договору;qiwi;380123456789
Ewallet;000-952812;EUR;;USD;3.00;12388908;;qiwi;179061234567
Ewallet;000-952812;USD;5.00;USD;;12388909;Agreement no.2;qiwi;70000000001
